dataset_name,model_variant,seed,signal_name,detector_type,params,value_scale,n_gt_drifts,n_detected,MDR,MTD,MTFA,MTR
sea_abrupt4,baseline_student,2,divergence_js,ph,"{""alpha"": 0.1, ""delta"": 0.005, ""min_instances"": 30, ""threshold"": 0.05}",10.0,4,25,0.0,711.0,2403.2,3.380028129395218
sea_abrupt4,baseline_student,2,divergence_js,ph,"{""alpha"": 0.1, ""delta"": 0.005, ""min_instances"": 30, ""threshold"": 0.1}",10.0,4,18,0.0,2167.0,3628.3076923076924,1.674345958609918
sea_abrupt4,baseline_student,2,divergence_js,ph,"{""alpha"": 0.1, ""delta"": 0.005, ""min_instances"": 30, ""threshold"": 0.2}",10.0,4,5,0.5,1383.0,3008.0,4.34996384671005
sea_abrupt4,baseline_student,2,divergence_js,ph,"{""alpha"": 0.1, ""delta"": 0.005, ""min_instances"": 30, ""threshold"": 0.5}",10.0,4,0,1.0,,,
sea_abrupt4,baseline_student,2,divergence_js,ph,"{""alpha"": 0.1, ""delta"": 0.005, ""min_instances"": 30, ""threshold"": 1.0}",10.0,4,0,1.0,,,
sea_abrupt4,baseline_student,2,divergence_js,ph,"{""alpha"": 0.1, ""delta"": 0.005, ""min_instances"": 30, ""threshold"": 0.05}",25.0,4,26,0.0,919.0,2285.714285714286,2.487175501321312
sea_abrupt4,baseline_student,2,divergence_js,ph,"{""alpha"": 0.1, ""delta"": 0.005, ""min_instances"": 30, ""threshold"": 0.1}",25.0,4,25,0.0,1543.0,2339.2,1.5160077770576796
sea_abrupt4,baseline_student,2,divergence_js,ph,"{""alpha"": 0.1, ""delta"": 0.005, ""min_instances"": 30, ""threshold"": 0.2}",25.0,4,20,0.0,983.0,3084.8,3.1381485249237033
sea_abrupt4,baseline_student,2,divergence_js,ph,"{""alpha"": 0.1, ""delta"": 0.005, ""min_instances"": 30, ""threshold"": 0.5}",25.0,4,5,0.5,1383.0,3008.0,4.34996384671005
sea_abrupt4,baseline_student,2,divergence_js,ph,"{""alpha"": 0.1, ""delta"": 0.005, ""min_instances"": 30, ""threshold"": 1.0}",25.0,4,1,0.75,527.0,,
sea_abrupt4,baseline_student,2,divergence_js,ph,"{""alpha"": 0.1, ""delta"": 0.005, ""min_instances"": 30, ""threshold"": 0.05}",50.0,4,26,0.0,919.0,2285.714285714286,2.487175501321312
sea_abrupt4,baseline_student,2,divergence_js,ph,"{""alpha"": 0.1, ""delta"": 0.005, ""min_instances"": 30, ""threshold"": 0.1}",50.0,4,26,0.0,919.0,2285.714285714286,2.487175501321312
sea_abrupt4,baseline_student,2,divergence_js,ph,"{""alpha"": 0.1, ""delta"": 0.005, ""min_instances"": 30, ""threshold"": 0.2}",50.0,4,25,0.0,1543.0,2339.2,1.5160077770576796
sea_abrupt4,baseline_student,2,divergence_js,ph,"{""alpha"": 0.1, ""delta"": 0.005, ""min_instances"": 30, ""threshold"": 0.5}",50.0,4,18,0.0,2167.0,3628.3076923076924,1.674345958609918
sea_abrupt4,baseline_student,2,divergence_js,ph,"{""alpha"": 0.1, ""delta"": 0.005, ""min_instances"": 30, ""threshold"": 1.0}",50.0,4,5,0.5,1383.0,3008.0,4.34996384671005
sea_abrupt4,baseline_student,2,divergence_js,ph,"{""alpha"": 0.1, ""delta"": 0.005, ""min_instances"": 30, ""threshold"": 0.05}",100.0,4,26,0.0,919.0,2285.714285714286,2.487175501321312
sea_abrupt4,baseline_student,2,divergence_js,ph,"{""alpha"": 0.1, ""delta"": 0.005, ""min_instances"": 30, ""threshold"": 0.1}",100.0,4,26,0.0,919.0,2285.714285714286,2.487175501321312
sea_abrupt4,baseline_student,2,divergence_js,ph,"{""alpha"": 0.1, ""delta"": 0.005, ""min_instances"": 30, ""threshold"": 0.2}",100.0,4,26,0.0,919.0,2285.714285714286,2.487175501321312
sea_abrupt4,baseline_student,2,divergence_js,ph,"{""alpha"": 0.1, ""delta"": 0.005, ""min_instances"": 30, ""threshold"": 0.5}",100.0,4,25,0.0,711.0,2403.2,3.380028129395218
sea_abrupt4,baseline_student,2,divergence_js,ph,"{""alpha"": 0.1, ""delta"": 0.005, ""min_instances"": 30, ""threshold"": 1.0}",100.0,4,18,0.0,2167.0,3628.3076923076924,1.674345958609918
sea_abrupt4,baseline_student,3,student_error_rate,adwin,"{""delta"": 0.1}",1.0,4,1,0.75,6623.0,,
sea_abrupt4,baseline_student,3,student_error_rate,adwin,"{""delta"": 0.05}",1.0,4,1,0.75,8671.0,,
sea_abrupt4,baseline_student,3,student_error_rate,adwin,"{""delta"": 0.01}",1.0,4,1,0.75,6863.0,,
sea_abrupt4,baseline_student,3,student_error_rate,adwin,"{""delta"": 0.005}",1.0,4,1,0.75,959.0,,
sea_abrupt4,baseline_student,3,student_error_rate,adwin,"{""delta"": 0.001}",1.0,4,1,0.75,7103.0,,
sea_abrupt4,baseline_student,3,student_error_rate,ph,"{""alpha"": 0.15, ""delta"": 0.005, ""min_instances"": 25, ""threshold"": 0.05}",1.0,4,31,0.0,999.0,1846.1538461538462,1.848001848001848
sea_abrupt4,baseline_student,3,student_error_rate,ph,"{""alpha"": 0.15, ""delta"": 0.005, ""min_instances"": 25, ""threshold"": 0.1}",1.0,4,31,0.0,999.0,1846.1538461538462,1.848001848001848
sea_abrupt4,baseline_student,3,student_error_rate,ph,"{""alpha"": 0.15, ""delta"": 0.005, ""min_instances"": 25, ""threshold"": 0.2}",1.0,4,30,0.0,1047.0,1891.84,1.8069149952244508
sea_abrupt4,baseline_student,3,student_error_rate,ph,"{""alpha"": 0.15, ""delta"": 0.005, ""min_instances"": 25, ""threshold"": 0.3}",1.0,4,30,0.0,1191.0,1891.84,1.5884466834592779
sea_abrupt4,baseline_student,3,teacher_entropy,ph,"{""alpha"": 0.5, ""delta"": 0.01, ""min_instances"": 20, ""threshold"": 0.5}",1.0,4,1,0.75,8127.0,,
sea_abrupt4,baseline_student,3,teacher_entropy,ph,"{""alpha"": 0.5, ""delta"": 0.01, ""min_instances"": 20, ""threshold"": 1.0}",1.0,4,0,1.0,,,
sea_abrupt4,baseline_student,3,teacher_entropy,ph,"{""alpha"": 0.5, ""delta"": 0.01, ""min_instances"": 20, ""threshold"": 2.0}",1.0,4,0,1.0,,,
sea_abrupt4,baseline_student,3,teacher_entropy,ph,"{""alpha"": 0.5, ""delta"": 0.01, ""min_instances"": 20, ""threshold"": 5.0}",1.0,4,0,1.0,,,
sea_abrupt4,baseline_student,3,teacher_entropy,adwin,"{""delta"": 0.1}",1.0,4,2,0.5,5599.0,,
sea_abrupt4,baseline_student,3,teacher_entropy,adwin,"{""delta"": 0.05}",1.0,4,2,0.5,6623.0,,
sea_abrupt4,baseline_student,3,divergence_js,ph,"{""alpha"": 0.1, ""delta"": 0.005, ""min_instances"": 30, ""threshold"": 0.05}",10.0,4,25,0.0,1495.0,2332.8,1.5604013377926422
sea_abrupt4,baseline_student,3,divergence_js,ph,"{""alpha"": 0.1, ""delta"": 0.005, ""min_instances"": 30, ""threshold"": 0.1}",10.0,4,21,0.0,903.0,2924.0,3.238095238095238
sea_abrupt4,baseline_student,3,divergence_js,ph,"{""alpha"": 0.1, ""delta"": 0.005, ""min_instances"": 30, ""threshold"": 0.2}",10.0,4,7,0.0,3671.0,16768.0,4.5676927267774445
sea_abrupt4,baseline_student,3,divergence_js,ph,"{""alpha"": 0.1, ""delta"": 0.005, ""min_instances"": 30, ""threshold"": 0.5}",10.0,4,0,1.0,,,
sea_abrupt4,baseline_student,3,divergence_js,ph,"{""alpha"": 0.1, ""delta"": 0.005, ""min_instances"": 30, ""threshold"": 1.0}",10.0,4,0,1.0,,,
sea_abrupt4,baseline_student,3,divergence_js,ph,"{""alpha"": 0.1, ""delta"": 0.005, ""min_instances"": 30, ""threshold"": 0.05}",25.0,4,26,0.0,919.0,2285.714285714286,2.487175501321312
sea_abrupt4,baseline_student,3,divergence_js,ph,"{""alpha"": 0.1, ""delta"": 0.005, ""min_instances"": 30, ""threshold"": 0.1}",25.0,4,26,0.0,919.0,2285.714285714286,2.487175501321312
