step,seen_samples,sample_idx,dataset_name,dataset_type,model_variant,seed,monitor_preset,trigger_mode,trigger_k,trigger_threshold,trigger_weights,metric_accuracy,metric_kappa,student_error_rate,teacher_entropy,divergence_js,drift_flag,monitor_severity,monitor_fused_severity,monitor_vote_count,monitor_vote_score,drift_severity_raw,drift_severity,severity_carry,use_severity_v2,entropy_mode,decay,freeze_baseline_steps,regime,alpha,lr,lambda_u,tau,timestamp,supervised_loss,unsupervised_loss
35,2240,2239,sea_abrupt4,sea,ts_drift_adapt,5,error_divergence_ph_meta,k_of_n,2,0.5,,0.725,0.27806582919568235,0.3333333333333333,0.6375092267990112,0.0064506372436881065,0,0.0,0.00021327519789338112,0,0.0,0.0,0.0,0.0,0,overconfident,0.95,0,stable,0.9899990936287941,0.0008000152587803314,0.9999938964901958,0.9449972534192785,1767764823.3930416,0.5815345644950867,0.026088323444128036
36,2304,2303,sea_abrupt4,sea,ts_drift_adapt,5,error_divergence_ph_meta,k_of_n,2,0.5,,0.7287326388888888,0.2900766520014907,0.16666666666666666,0.6459203958511353,0.009870339184999466,0,0.0,0.16666666666666666,0,0.0,0.0,0.0,0.0,0,overconfident,0.95,0,stable,0.9899995468143971,0.0008000076293901658,0.9999969482450979,0.9449986267096393,1767764823.4004982,0.4844842851161957,0.0405280664563179
37,2368,2367,sea_abrupt4,sea,ts_drift_adapt,5,error_divergence_ph_meta,k_of_n,2,0.5,,0.7309966216216216,0.29893288715374594,0.3333333333333333,0.6322929859161377,0.006654561962932348,0,0.0,0.16666666666666666,0,0.0,0.0,0.0,0.0,0,overconfident,0.95,0,stable,0.9899997734071986,0.000800003814695083,0.9999984741225489,0.9449993133548197,1767764823.407986,0.6172512173652649,0.027512390166521072
38,2432,2431,sea_abrupt4,sea,ts_drift_adapt,5,error_divergence_ph_meta,k_of_n,2,0.5,,0.7314967105263158,0.30168903647706713,0.3333333333333333,0.6341421008110046,0.007581582758575678,0,0.0,0.0009270207956433296,0,0.0,0.0,0.0,0.0,0,overconfident,0.95,0,stable,0.9899998867035993,0.0008000019073475416,0.9999992370612745,0.9449996566774099,1767764823.4153361,0.6141887903213501,0.03199391812086105
39,2496,2495,sea_abrupt4,sea,ts_drift_adapt,5,error_divergence_ph_meta,k_of_n,2,0.5,,0.7315705128205128,0.30153299207441747,0.16666666666666666,0.6289831399917603,0.007079928647726774,0,0.0,0.16666666666666666,0,0.0,0.0,0.0,0.0,0,overconfident,0.95,0,stable,0.9899999433517996,0.0008000009536737707,0.9999996185306372,0.944999828338705,1767764823.423882,0.35867181420326233,0.02943386696279049
40,2560,2559,sea_abrupt4,sea,ts_drift_adapt,5,error_divergence_ph_meta,k_of_n,2,0.5,,0.731640625,0.3000542852730902,0.3333333333333333,0.636569082736969,0.006705212872475386,0,0.0,0.16666666666666666,0,0.0,0.0,0.0,0.0,0,overconfident,0.95,0,stable,0.9899999716758998,0.0008000004768368854,0.9999998092653186,0.9449999141693526,1767764823.4330895,0.6995725035667419,0.028147408738732338
41,2624,2623,sea_abrupt4,sea,ts_drift_adapt,5,error_divergence_ph_meta,k_of_n,2,0.5,,0.7328506097560976,0.3022822514815974,0.16666666666666666,0.6279864311218262,0.0062382034957408905,0,0.0,0.16666666666666666,0,0.0,0.0,0.0,0.0,0,overconfident,0.95,0,stable,0.9899999858379499,0.0008000002384184427,0.9999999046326593,0.9449999570846763,1767764823.4422953,0.4703046381473541,0.02584020048379898
42,2688,2687,sea_abrupt4,sea,ts_drift_adapt,5,error_divergence_ph_meta,k_of_n,2,0.5,,0.7332589285714286,0.3028480811190917,0.16666666666666666,0.6207073330879211,0.005782219581305981,0,0.0,0.0004559839144349098,0,0.0,0.0,0.0,0.0,0,overconfident,0.95,0,stable,0.9899999929189749,0.0008000001192092214,0.9999999523163297,0.9449999785423382,1767764823.4517066,0.5467637777328491,0.024333273991942406
43,2752,2751,sea_abrupt4,sea,ts_drift_adapt,5,error_divergence_ph_meta,k_of_n,2,0.5,,0.7351017441860465,0.3085160210498158,0.3333333333333333,0.6374378204345703,0.008096686564385891,0,0.0,0.16666666666666666,0,0.0,0.0,0.0,0.0,0,overconfident,0.95,0,stable,0.9899999964594874,0.0008000000596046107,0.9999999761581648,0.9449999892711691,1767764823.4610696,0.49863481521606445,0.03402477130293846
44,2816,2815,sea_abrupt4,sea,ts_drift_adapt,5,error_divergence_ph_meta,k_of_n,2,0.5,,0.7340198863636364,0.30529915971257876,0.3333333333333333,0.6275762915611267,0.007558200042694807,0,0.0,0.0005384865216910839,0,0.0,0.0,0.0,0.0,0,overconfident,0.95,0,stable,0.9899999982297437,0.0008000000298023053,0.9999999880790824,0.9449999946355846,1767764823.4684012,0.6344901919364929,0.03171578794717789
45,2880,2879,sea_abrupt4,sea,ts_drift_adapt,5,error_divergence_ph_meta,k_of_n,2,0.5,,0.7364583333333333,0.3118394392765801,0.16666666666666666,0.6354851126670837,0.006870186887681484,0,0.0,0.16666666666666666,0,0.0,0.0,0.0,0.0,0,overconfident,0.95,0,stable,0.9899999991148718,0.0008000000149011527,0.9999999940395412,0.9449999973177923,1767764823.475585,0.5334718227386475,0.02893175557255745
46,2944,2943,sea_abrupt4,sea,ts_drift_adapt,5,error_divergence_ph_meta,k_of_n,2,0.5,,0.7370923913043478,0.31132171843161927,0.0,0.6188617944717407,0.008809296414256096,0,0.0,0.16666666666666666,0,0.0,0.0,0.0,0.0,0,overconfident,0.95,0,stable,0.9899999995574359,0.0008000000074505763,0.9999999970197706,0.9449999986588962,1767764823.482762,0.36546555161476135,0.03725866600871086
47,3008,3007,sea_abrupt4,sea,ts_drift_adapt,5,error_divergence_ph_meta,k_of_n,2,0.5,,0.738031914893617,0.3119054696789534,0.3333333333333333,0.6337030529975891,0.008728894405066967,0,0.0,0.3333333333333333,0,0.0,0.0,0.0,0.0,0,overconfident,0.95,0,stable,0.9899999997787179,0.0008000000037252882,0.9999999985098853,0.9449999993294481,1767764823.4905896,0.7321102023124695,0.037459760904312134
48,3072,3071,sea_abrupt4,sea,ts_drift_adapt,5,error_divergence_ph_meta,k_of_n,2,0.5,,0.7366536458333334,0.3096326223120026,0.3333333333333333,0.6309338212013245,0.009812143631279469,0,0.0,0.0010832492262125015,0,0.0,0.0,0.0,0.0,0,overconfident,0.95,0,stable,0.9899999998893589,0.0008000000018626441,0.9999999992549427,0.944999999664724,1767764823.4986053,0.6856787800788879,0.041683994233608246
49,3136,3135,sea_abrupt4,sea,ts_drift_adapt,5,error_divergence_ph_meta,k_of_n,2,0.5,,0.7366071428571429,0.3085135236142702,0.16666666666666666,0.6286875009536743,0.007986114360392094,0,0.0,0.16666666666666666,0,0.0,0.0,0.0,0.0,0,overconfident,0.95,0,stable,0.9899999999446795,0.000800000000931322,0.9999999996274713,0.944999999832362,1767764823.505876,0.5012710690498352,0.033770982176065445
50,3200,3199,sea_abrupt4,sea,ts_drift_adapt,5,error_divergence_ph_meta,k_of_n,2,0.5,,0.738125,0.30923948854459626,0.0,0.6228905320167542,0.006561777088791132,0,0.16666666666666666,0.16666666666666666,1,0.5,0.0,0.0,0.0,0,overconfident,0.95,0,stable,0.9899999999723397,0.0008000000004656611,0.9999999998137357,0.9449999999161811,1767764823.5152237,0.20831482112407684,0.027623170986771584
51,3264,3263,sea_abrupt4,sea,ts_drift_adapt,5,error_divergence_ph_meta,k_of_n,2,0.5,,0.7377450980392157,0.3092200124608127,0.5,0.61903315782547,0.005377802066504955,0,0.0,0.5,0,0.0,0.0,0.0,0.0,0,overconfident,0.95,0,stable,0.9899999999861698,0.0008000000002328306,0.9999999999068678,0.9449999999580906,1767764823.5226934,0.6842640042304993,0.02243737131357193
52,3328,3327,sea_abrupt4,sea,ts_drift_adapt,5,error_divergence_ph_meta,k_of_n,2,0.5,,0.7388822115384616,0.3125084984610061,0.5,0.6220982670783997,0.006214841268956661,0,0.0,0.0008370392024517059,0,0.0,0.0,0.0,0.0,0,overconfident,0.95,0,stable,0.9899999999930849,0.0008000000001164153,0.9999999999534339,0.9449999999790453,1767764823.5300634,0.5732999444007874,0.026222122833132744
53,3392,3391,sea_abrupt4,sea,ts_drift_adapt,5,error_divergence_ph_meta,k_of_n,2,0.5,,0.7396816037735849,0.3157434458280753,0.0,0.6193165183067322,0.004804818890988827,0,0.0,0.5,0,0.0,0.0,0.0,0.0,0,overconfident,0.95,0,stable,0.9899999999965424,0.0008000000000582077,0.999999999976717,0.9449999999895227,1767764823.537491,0.30940601229667664,0.020268509164452553
54,3456,3455,sea_abrupt4,sea,ts_drift_adapt,5,error_divergence_ph_meta,k_of_n,2,0.5,,0.7407407407407407,0.3165932773762061,0.16666666666666666,0.623043417930603,0.004716123919934034,0,0.0,0.16666666666666666,0,0.0,0.0,0.0,0.0,0,overconfident,0.95,0,stable,0.9899999999982712,0.0008000000000291038,0.9999999999883584,0.9449999999947614,1767764823.5448008,0.48165664076805115,0.01937791332602501
55,3520,3519,sea_abrupt4,sea,ts_drift_adapt,5,error_divergence_ph_meta,k_of_n,2,0.5,,0.740625,0.3181033114561257,0.0,0.6367382407188416,0.00774321798235178,0,0.0,0.16666666666666666,0,0.0,0.0,0.0,0.0,0,overconfident,0.95,0,stable,0.9899999999991356,0.0008000000000145519,0.9999999999941792,0.9449999999973807,1767764823.5520673,0.3190942108631134,0.032532211393117905
56,3584,3583,sea_abrupt4,sea,ts_drift_adapt,5,error_divergence_ph_meta,k_of_n,2,0.5,,0.7416294642857143,0.3213406551789434,0.6666666666666666,0.6272254586219788,0.005225633271038532,0,0.0,0.6666666666666666,0,0.0,0.0,0.0,0.0,0,overconfident,0.95,0,stable,0.9899999999995678,0.000800000000007276,0.9999999999970897,0.9449999999986904,1767764823.5593486,0.9118660092353821,0.021844975650310516
57,3648,3647,sea_abrupt4,sea,ts_drift_adapt,5,error_divergence_ph_meta,k_of_n,2,0.5,,0.7445175438596491,0.32568219438250945,0.16666666666666666,0.6212406158447266,0.005230971612036228,0,0.0,0.5,0,0.0,0.0,0.0,0.0,0,overconfident,0.95,0,stable,0.9899999999997839,0.0008000000000036381,0.9999999999985448,0.9449999999993453,1767764823.5676694,0.4596121311187744,0.021696824580430984
58,3712,3711,sea_abrupt4,sea,ts_drift_adapt,5,error_divergence_ph_meta,k_of_n,2,0.5,,0.7443426724137931,0.3254558698387922,0.16666666666666666,0.622542679309845,0.00409530708566308,0,0.0,0.001135664526373148,0,0.0,0.0,0.0,0.0,0,overconfident,0.95,0,stable,0.989999999999892,0.000800000000001819,0.9999999999992724,0.9449999999996727,1767764823.5752184,0.4842464029788971,0.016609374433755875
59,3776,3775,sea_abrupt4,sea,ts_drift_adapt,5,error_divergence_ph_meta,k_of_n,2,0.5,,0.744968220338983,0.3266791691479054,0.16666666666666666,0.6062510013580322,0.0060839783400297165,0,0.0,0.0019886712543666363,0,0.0,0.0,0.0,0.0,0,overconfident,0.95,0,stable,0.989999999999946,0.0008000000000009096,0.9999999999996362,0.9449999999998364,1767764823.582381,0.5586853623390198,0.02453000284731388
