track,dataset,seed,group,run_id,confirm_theta,confirm_window,confirm_cooldown,confirmed_count_total,horizon,confirm_rate_per_10k,median_gap_between_confirms,p10_gap_between_confirms,acc_min_raw,acc_min@2000,post_min@W1000,post_mean@W1000,recovery_time_to_pre90
R,INSECTS_abrupt_balanced,5,v2_gate_m3,20260108-110909-vau_v2_gate_m3_theta0.50_w1_cd0,0.5,1,0,38,52847,7.190569001078585,1280.0,1280.0,0.16519474637681159,0.16519474637681159,0.18679364129359718,0.18761707234904165,178.4
R,INSECTS_abrupt_balanced,6,v2_gate_m3,20260108-110909-vau_v2_gate_m3_theta0.50_w1_cd0,0.5,1,0,39,52847,7.379794501106969,1280.0,1280.0,0.17003348214285716,0.17003348214285716,0.1968106298306274,0.1976528880806731,178.4
R,INSECTS_abrupt_balanced,7,v2_gate_m3,20260108-110909-vau_v2_gate_m3_theta0.50_w1_cd0,0.5,1,0,38,52847,7.190569001078585,1280.0,1280.0,0.15625,0.1610054347826087,0.19158518967381932,0.192413557185285,178.4
R,INSECTS_abrupt_balanced,8,v2_gate_m3,20260108-110909-vau_v2_gate_m3_theta0.50_w1_cd0,0.5,1,0,39,52847,7.379794501106969,1280.0,1280.0,0.17645089285714285,0.17645089285714285,0.1990672422421554,0.1999668264319359,178.4
R,INSECTS_abrupt_balanced,9,v2_gate_m3,20260108-110909-vau_v2_gate_m3_theta0.50_w1_cd0,0.5,1,0,38,52847,7.190569001078585,1280.0,1280.0,0.12109375,0.1582314311594203,0.1859827890796705,0.18666274253082143,178.4
R,INSECTS_abrupt_balanced,10,v2_gate_m3,20260108-110909-vau_v2_gate_m3_theta0.50_w1_cd0,0.5,1,0,39,52847,7.379794501106969,1280.0,1280.0,0.162890625,0.162890625,0.1884991818107018,0.18939029415964478,178.4
R,sea_abrupt4,1,v2_gate_m5,20260108-111015-cl5_v2_gate_m5_theta0.50_w1_cd0,0.5,1,0,152,50000,30.4,320.0,320.0,0.6666666666666666,0.75439453125,,,
R,sea_abrupt4,2,v2_gate_m5,20260108-111015-cl5_v2_gate_m5_theta0.50_w1_cd0,0.5,1,0,150,50000,30.0,320.0,320.0,0.3046875,0.7244318181818182,,,
R,sea_abrupt4,3,v2_gate_m5,20260108-111015-cl5_v2_gate_m5_theta0.50_w1_cd0,0.5,1,0,149,50000,29.8,320.0,320.0,0.5625,0.7514204545454546,,,
R,sea_abrupt4,4,v2_gate_m5,20260108-111015-cl5_v2_gate_m5_theta0.50_w1_cd0,0.5,1,0,150,50000,30.0,320.0,320.0,0.4375,0.75439453125,,,
R,sea_abrupt4,5,v2_gate_m5,20260108-111015-cl5_v2_gate_m5_theta0.50_w1_cd0,0.5,1,0,148,50000,29.6,320.0,320.0,0.546875,0.74951171875,,,
R,INSECTS_abrupt_balanced,1,v2_gate_m5,20260108-111015-cl5_v2_gate_m5_theta0.50_w1_cd0,0.5,1,0,39,52847,7.379794501106969,1280.0,1280.0,0.16294642857142858,0.16294642857142858,0.19298416374881125,0.19371420558635066,178.4
R,INSECTS_abrupt_balanced,2,v2_gate_m5,20260108-111015-cl5_v2_gate_m5_theta0.50_w1_cd0,0.5,1,0,39,52847,7.379794501106969,1280.0,1280.0,0.12890625,0.16111865942028986,0.18359840203302696,0.18442125501383297,178.4
R,INSECTS_abrupt_balanced,3,v2_gate_m5,20260108-111015-cl5_v2_gate_m5_theta0.50_w1_cd0,0.5,1,0,39,52847,7.379794501106969,1280.0,1280.0,0.17119565217391305,0.17119565217391305,0.19473332656619627,0.1955811977595404,178.4
R,INSECTS_abrupt_balanced,4,v2_gate_m5,20260108-111015-cl5_v2_gate_m5_theta0.50_w1_cd0,0.5,1,0,38,52847,7.190569001078585,1280.0,1280.0,0.16457201086956522,0.16457201086956522,0.19052352040159698,0.1912868060900157,178.4
R,INSECTS_abrupt_balanced,5,v2_gate_m5,20260108-111015-cl5_v2_gate_m5_theta0.50_w1_cd0,0.5,1,0,38,52847,7.190569001078585,1280.0,1280.0,0.14453125,0.16270380434782608,0.18450588145436284,0.18532241274397823,178.4
R,INSECTS_abrupt_balanced,6,v2_gate_m5,20260108-111015-cl5_v2_gate_m5_theta0.50_w1_cd0,0.5,1,0,40,52847,7.569020001135353,1280.0,1280.0,0.17433035714285713,0.17433035714285713,0.20109803274416152,0.2019949665134041,178.4
R,INSECTS_abrupt_balanced,7,v2_gate_m5,20260108-111015-cl5_v2_gate_m5_theta0.50_w1_cd0,0.5,1,0,40,52847,7.569020001135353,1280.0,1280.0,0.16802536231884058,0.16802536231884058,0.19778051083209164,0.19866467045172656,178.4
R,INSECTS_abrupt_balanced,8,v2_gate_m5,20260108-111015-cl5_v2_gate_m5_theta0.50_w1_cd0,0.5,1,0,40,52847,7.569020001135353,1280.0,1280.0,0.1610054347826087,0.1610054347826087,0.19308058485523946,0.1938584603420299,178.4
R,INSECTS_abrupt_balanced,9,v2_gate_m5,20260108-111015-cl5_v2_gate_m5_theta0.50_w1_cd0,0.5,1,0,37,52847,7.001343501050202,1280.0,1280.0,0.138671875,0.15806159420289856,0.19011949422136848,0.1908630265396477,178.4
